id||tweetId||user||tweet||timestamp||polarity||subjectivity
27979||1055078447087792128||ThisLincolnian||https://t.co/bzvcbtcud2, inc. $CRM General Counsel Sells $91,354.70 in Stock https://t.co/QMmOoKLaL1||2018-10-24 12:47:58.000000||0.05000000000000002||0.5
27980||1055078447628910597||zebra_ufo||RT @swachhcoin: We're now featured on @coinbrokr https://t.co/KOA609mjTN  Take part in our #TokenSale &amp; avail 15% Festive 🅱️⭕️N⛎💲 ✅https://…||2018-10-24 12:47:58.000000||0.0||0.0
27981||1055078491413245952||OpenOutcrier||$BA (+4.6% pre) Boeing shares surge after reporting blowout results and raising 2018 forecast - CNBC  https://t.co/NMY6tVFivp||2018-10-24 12:48:09.000000||0.0||0.0
27982||1055078494009483265||tradnews_||RT @OpenOutcrier: $BA (+4.6% pre) Boeing shares surge after reporting blowout results and raising 2018 forecast - CNBC  https://t.co/NMY6tV…||2018-10-24 12:48:10.000000||0.0||0.0
27983||1055078496740036608||Mutant62730511||@coindesk This is a very interesting project. @_Peculium $PCL and their upcoming, AI-based trading platform which w… https://t.co/hFncKixqb4||2018-10-24 12:48:10.000000||0.65||0.65
27984||1055078507741696000||mrlopis||RT @ManuelBieh: I'm not sure everybody knows this: select a component in the #React devtools and write $r in your browser's console. You wi…||2018-10-24 12:48:13.000000||-0.25||0.8888888888888888
27985||1055078508039454720||TCylindro||RT @pierpont_morgan: How the game is played: at Boeing's request Wall St quietly lowers eps estimates from $3.69 to $3.47.  $BA reports $3.…||2018-10-24 12:48:13.000000||-0.2||0.3666666666666667
27986||1055078510493159424||soupate||Boeing tops all expectations on strong defense spending $ba https://t.co/1t3HsdVKzu via @SFGate||2018-10-24 12:48:13.000000||0.4333333333333333||0.7333333333333333
27987||1055078544269692928||i4u_orpita||RT @swachhcoin: We're now featured on @coinbrokr https://t.co/KOA609mjTN  Take part in our #TokenSale &amp; avail 15% Festive 🅱️⭕️N⛎💲 ✅https://…||2018-10-24 12:48:22.000000||0.0||0.0
27988||1055078546836721672||glareone||$SPY premarket cup in handle on the 3 minute.||2018-10-24 12:48:22.000000||0.0||0.0
27989||1055078566856146949||petenajarian||$BA crushed and Guidance also impressive, then add Cash Flows and it has turned the markets early... add to $BA rep… https://t.co/VTfDVzlzgN||2018-10-24 12:48:27.000000||0.3333333333333333||0.46666666666666673
27990||1055078623307276288||gloriaestee||Long/Short Bitcoin volatility with up to 100x Leverage at Bitmex! 💰🎉  Get a 10% Fee Rebate:  ▶️… https://t.co/a5uHwuWQN7||2018-10-24 12:48:40.000000||0.0||0.0
27991||1055078636242591745||jane_yul||GM $TWTR Gappers from https://t.co/iyBBqE4y0O UP $ESEA $PLAG $VBIV $TRVG DOWN $RGLS $IRBT $IGC $CIDM and $SPY $QQQ… https://t.co/z1X4HR0xmL||2018-10-24 12:48:43.000000||-0.15555555555555559||0.2888888888888889
27992||1055078641439309824||SoHighSoberO1||Sign up to join the biggest Crypto Exchange - Binance !  Click here: https://t.co/UwfsbfNnvP     $BTC $ETH $OMG… https://t.co/i9SGCp8eFJ||2018-10-24 12:48:45.000000||0.0||0.0
27993||1055078665187319808||ubud_high||RT @CryptoStatsBot: 📉 Biggest Losers (1 hr) 📉 Ravencoin $RVN -1.89% ❄️ Elastos $ELA -1.53% ❄️ Nexo $NEXO -1.49% ❄️ QuarkChain $QKC -1.34%…||2018-10-24 12:48:50.000000||-0.2||0.2
27994||1055078676381917184||minniehdavissdd||Buy/Sell Bitcoin changes with up to 100x Leverage at Bitmex! 💰🎉  Get a 10% Fee Discount:  ▶️… https://t.co/bPgz9g1wLt||2018-10-24 12:48:53.000000||0.0||0.0
27995||1055078685852778496||Investing_Books||Forex The Holy Grail by Simone Siesto: https://t.co/skN032teQd $SPY $GBP $EUR $MXN $ARS $PHP||2018-10-24 12:48:55.000000||0.0||0.0
27996||1055078696636289026||reurope_stock||Discussion stirs around Noble Energy, Inc. $NBL this week; here is what analysts are saying. https://t.co/xm1g84HBVk||2018-10-24 12:48:58.000000||0.6||0.9
27997||1055078703481450496||macondailynews||DA Davidson Brokers Cut Earnings Estimates for Hasbro, Inc. $HAS https://t.co/k8gLg1YS27||2018-10-24 12:48:59.000000||0.0||0.0
27998||1055078706564206592||NewsToDesk||$MSFT $AAPL $TSLA $NIO $VLKAY $F:  Microsoft to $1 Trillion? Tesla and Ford: Three Keys to Your Trading Day:  https://t.co/C4gtnfbAXS||2018-10-24 12:49:00.000000||0.0||0.0
27999||1055078706824310785||Paul_Hearns||RT @johnnyryan: Facebook announced just now at #ICDPPC2018 that it endorses a #GDPR standard federal law in the US. There is a problem thou…||2018-10-24 12:49:00.000000||0.0||0.0
28000||1055078731058987008||mcm_ct||RT @VolatilityWiz: $ES can it even make it to the downtrend line today? It's been a minefield of bull traps: https://t.co/KMt2Trx0Xr||2018-10-24 12:49:06.000000||0.0||0.0
28001||1055078733277786112||AnnLovesCrypto||$YOYOW is currently worth: $0.032520   QUICK! Sign up before Binance closes registration! 💸 🚀    ➡️… https://t.co/8weoTQBduk||2018-10-24 12:49:07.000000||0.41041666666666665||0.3
28002||1055078742819778560||nscorp||Norfolk Southern $NSC reports third-quarter 2018 results. https://t.co/8W28iir9p2||2018-10-24 12:49:09.000000||0.0||0.0
28003||1055078743025303552||bibeypost_stock||Are Analysts Bullish Noble Energy, Inc. $NBL After Last Week? - https://t.co/w9J7obLSUA||2018-10-24 12:49:09.000000||0.3||0.48333333333333334
28004||1055078755054641152||SeemaSapraLaw||6.18pm ongoing attempt to murder $GE #GE #FCPA #CORPGOV whistle-blower &amp; #MeToo survivor Seema Sapra… https://t.co/DujL1StdjI||2018-10-24 12:49:12.000000||0.0||0.0
28005||1055081243782463488||WizAtWallSt||Quest Diagnostics price target lowered to $121 from $128 at Credit Suisse $DGX||2018-10-24 12:59:05.000000||0.0||0.0
28006||1055081245586137088||LanceIppolito||$BA about a buck from the implied move option buyers need more movement!||2018-10-24 12:59:06.000000||0.625||0.5
28007||1055081249986043904||bjmisme||Sure wish this will happen.  Will give  lot of freedom to disabled and elderly.||2018-10-24 12:59:07.000000||0.15||0.5944444444444444
28008||1055081253320515586||TradesExalted||$QQQ $NDX Playing the Q's similarly.  Not focusing on the pattern as much as this break of the 126 EMA (hrly chart)… https://t.co/Ph1Q80pHrD||2018-10-24 12:59:07.000000||0.1||0.30000000000000004
28009||1055081255555997696||CrushCityTrader||RT @LiveSquawk: $FCX Freeport-McMoRan Q3 18 Earnings:  -Revenue: $4.91B (est $4.63B) -EPS: $0.35 (est $0.33)||2018-10-24 12:59:08.000000||0.0||0.0
28010||1055081257955016705||PennySilver1983||https://t.co/lRQiztyOZf Proof that Timothysykes made $323,840 trading https://t.co/n96Mq03iF8 $EWZ $NSM $HME $ED||2018-10-24 12:59:09.000000||0.0||0.0
28011||1055081259213287424||TraderTempest||https://t.co/Jh6YoAIGZW FREE Swing Trading Training - How You can Learn From a Millionaire Trader for FREE!!!!! $fb $amzn $googl||2018-10-24 12:59:09.000000||0.7||0.8
28012||1055081269229379585||Chestergaston3||RT @GreenDragonRob: $VRUS ticker completed! Correct sector now. At least $1M a month revenue! $109M in bank as of August! Disney distributi…||2018-10-24 12:59:11.000000||-0.46875||0.4
28013||1055081276984692737||jamespsuatnam||Long/Short Bitcoin movements with up to 100x Leverage at Bitmex! 💰🎉  Receive a 10% Fee Reduction:  ▶️… https://t.co/WswAQnfLgD||2018-10-24 12:59:13.000000||0.0||0.0
28014||1055081281233543168||macondailynews||Analysts’ Recent Ratings Changes for Cabot Oil &amp; Gas $COG https://t.co/8ZSXm9XEZS||2018-10-24 12:59:14.000000||0.0||0.25
28015||1055081284324769792||FuturesTrader71||$ES_F $SPY LIVE #TraderBite Current market context &amp; today's plan in 1 min #ES_F    Please RT/Share   https://t.co/QhSvGE3QfD||2018-10-24 12:59:15.000000||0.06818181818181818||0.45
28016||1055081301194067968||WizAtWallSt||Wells Fargo Reinstates Market Perform on EOG Resources, Announces $154 Price Target $EOG||2018-10-24 12:59:19.000000||0.0||0.0
28017||1055081318680289280||dawson_Stock||RT @FuturesTrader71: $ES_F $SPY LIVE #TraderBite Current market context &amp; today's plan in 1 min #ES_F    Please RT/Share   https://t.co/QhS…||2018-10-24 12:59:23.000000||0.06818181818181818||0.45
28018||1055081336300429313||Chestergaston3||RT @GreenDragonRob: $INND pending move to NASDAQ! Additional brick and mortar deals to be completed, manufacturing deals completed, Wal-Mar…||2018-10-24 12:59:27.000000||0.0||0.0
28019||1055081362032603136||robertbsarnett||Buy/Sell Bitcoin volatility with up to 100x Leverage at Bitmex! 💰🎉  Receive a 10% Fee Reduction:  ▶️… https://t.co/8rbvLIvm4q||2018-10-24 12:59:33.000000||0.0||0.0
28020||1055081374627983361||Verliswolf||I am trying to remember something I haven't experienced in a long time. faint memories of it being a mixture of yel… https://t.co/Drpk1QNbV3||2018-10-24 12:59:36.000000||0.08333333333333333||0.7666666666666666
28021||1055081376121270274||TradeScared||$SPY   the bottom is in - the bottom is not in - blah blah blah - who cares - just make money either way||2018-10-24 12:59:37.000000||0.0||0.0
28022||1055081388825853952||TradesExalted||$QQQ $NDX Playing the Q's similarly.  Not focusing on the pattern as much as this break of the 126 EMA (hrly chart)… https://t.co/vVmzuE2sVo||2018-10-24 12:59:40.000000||0.1||0.30000000000000004
